ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
67.9353614,18.1420300,0.0255,0.0227,-0.0078,9.444,0.014,75.8,1.260E+01,7.052,0.012,92.7,7.470E+00,1,0,0000,AA,10,59092.70459541,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.624883,110.222309
67.9353723,18.1420753,0.0279,0.0219,0.0075,9.350,0.016,69.0,1.379E+01,6.948,0.013,83.6,4.663E+00,1,0,0000,AA,10,57632.77362208,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.625895,94.850167
67.9353714,18.1420665,0.0267,0.0225,-0.0095,9.395,0.013,83.7,1.118E+01,6.986,0.013,85.3,4.340E+00,1,0,0000,AA,10,56903.69442637,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.626318,97.762967
67.9353521,18.1420087,0.0281,0.0252,-0.0064,9.395,0.015,72.0,8.742E+00,6.954,0.015,74.7,3.923E+00,1,0,0000,AA,10,57431.57964429,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.627049,117.824149
67.9353516,18.1420069,0.0242,0.0209,-0.0061,9.408,0.015,72.6,9.898E+00,6.922,0.012,89.4,4.514E+00,1,0,0000,AA,10,57431.12084380,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.628591,118.419293
67.9353738,18.1420703,0.0257,0.0204,0.0051,9.347,0.014,77.3,9.980E+00,6.925,0.012,93.2,7.355E+00,1,0,0000,AA,10,57270.55870016,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.632770,96.435095
67.9353731,18.1420610,0.0266,0.0266,-0.0109,9.358,0.015,70.3,1.468E+01,6.951,0.014,79.7,4.573E+00,1,0,0000,AA,10,57266.29491562,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.635028,99.462421
67.9353756,18.1420828,0.0265,0.0252,-0.0069,9.340,0.018,61.2,8.103E+00,6.951,0.013,83.1,4.651E+00,1,0,0000,AA,10,58728.93157650,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.635474,92.337630
67.9353611,18.1420208,0.0253,0.0237,-0.0103,9.395,0.014,78.9,1.116E+01,6.953,0.013,82.4,5.367E+00,1,0,0000,AA,10,57431.25187507,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.636143,113.054552
67.9353770,18.1420839,0.0243,0.0242,-0.0039,9.390,0.018,61.4,8.927E+00,6.931,0.012,87.8,5.003E+00,1,0,0000,AA,10,57266.42620135,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.640111,91.965980
