ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
67.8921323,18.1345385,0.0199,0.02,0.0065,7.743,0.016,69.7,16.17,4.808,0.011,95.3,46.63,1,0,0,AA,10,57431.31745439,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.708753,140.311029
67.8920576,18.1345,0.0254,0.0214,-0.0117,7.796,0.012,90.8,42.95,5.154,0.015,72.7,14.79,1,0,0,AA,10,57431.3830337,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.711819,163.92833
67.8920672,18.1345418,0.0258,0.0206,-0.0102,7.729,0.016,68,13.78,4.806,0.014,80.3,46.49,1,0,0,AA,10,57431.44861302,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.580948,156.687915
67.892297,18.1345566,0.0283,0.0248,-0.0044,7.861,0.017,63.5,15.43,4.905,0.019,57.2,29.81,1,0,0,AA,10,57431.57964429,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,1.123865,115.297014
67.8923341,18.1346346,0.024,0.0194,0.0018,7.763,0.015,71.6,26.93,5.121,0.013,82,18.67,1,0,0,AA,10,57431.71080282,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,1.160286,99.897602
67.8920973,18.134543,0.0281,0.0218,-0.0083,7.738,0.014,77.6,21.65,5.401,0.014,76,59.73,1,0,0,AA,10,57632.51156029,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.625193,147.829003
67.8921572,18.1347471,0.0263,0.0227,-0.0109,7.788,0.013,81,45.81,5.002,0.018,61.5,54.63,1,0,0,AA,10,57632.64259122,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.575754,69.082254
67.8920975,18.1347146,0.0229,0.0204,0.0043,7.736,0.015,73.1,31.53,5.157,0.012,94.1,59.89,1,0,0,AA,10,57632.77362208,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.345119,75.131231
67.8921685,18.1347439,0.027,0.0216,0.0097,7.875,0.019,56,8.682,5.022,0.015,72.8,24.2,1,0,0,AA,10,57632.90465301,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.608252,71.396679
67.8921518,18.1347161,0.0228,0.02,-0.0065,7.792,0.014,79.5,24.11,5.134,0.015,73.4,46.22,1,0,0,AA,10,57632.97010477,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.527762,79.744747
